,total load actual,temp,Week,Month,Day,Hour,dayOfWeek,humidity
2015-01-01 00:00:00+00:00,24382.0,272.5127,1,1,1,0,3,82.4
2015-01-01 01:00:00+00:00,22734.0,272.0991375,1,1,1,1,3,82.0
2015-01-01 02:00:00+00:00,21286.0,272.08946875000004,1,1,1,2,3,82.0
2015-01-01 03:00:00+00:00,20264.0,272.1459,1,1,1,3,3,82.0
2015-01-01 04:00:00+00:00,19905.0,272.024,1,1,1,4,3,82.6
2015-01-01 05:00:00+00:00,20010.0,272.0584,1,1,1,5,3,82.6
2015-01-01 06:00:00+00:00,20377.0,272.3466,1,1,1,6,3,82.2
2015-01-01 07:00:00+00:00,20094.0,273.9936,1,1,1,7,3,81.2
2015-01-01 08:00:00+00:00,20637.0,274.1972,1,1,1,8,3,81.0
2015-01-01 09:00:00+00:00,22250.0,275.2296,1,1,1,9,3,76.2
2015-01-01 10:00:00+00:00,23547.0,282.2453375,1,1,1,10,3,72.4
2015-01-01 11:00:00+00:00,24133.0,283.00146875,1,1,1,11,3,69.2
2015-01-01 12:00:00+00:00,24713.0,282.70210000000003,1,1,1,12,3,71.4
2015-01-01 13:00:00+00:00,24672.0,284.35119375000005,1,1,1,13,3,52.8
2015-01-01 14:00:00+00:00,23528.0,284.89760625,1,1,1,14,3,51.0
2015-01-01 15:00:00+00:00,23118.0,281.2869,1,1,1,15,3,66.4
2015-01-01 16:00:00+00:00,23606.0,283.21899375,1,1,1,16,3,58.8
2015-01-01 17:00:00+00:00,26447.0,280.994,1,1,1,17,3,68.2
2015-01-01 18:00:00+00:00,28020.0,279.66695625,1,1,1,18,3,69.4
2015-01-01 19:00:00+00:00,29014.0,277.19359999999995,1,1,1,19,3,81.0
2015-01-01 20:00:00+00:00,29571.0,275.6182,1,1,1,20,3,84.2
2015-01-01 21:00:00+00:00,29031.0,275.6856,1,1,1,21,3,83.8
2015-01-01 22:00:00+00:00,26798.0,274.24226250000004,1,1,1,22,3,84.2
2015-01-01 23:00:00+00:00,27070.0,274.22813125000005,1,1,1,23,3,84.2
2015-01-02 00:00:00+00:00,24935.0,274.0337,1,1,2,0,4,84.4
2015-01-02 01:00:00+00:00,23214.0,273.59266875000003,1,1,2,1,4,84.8
2015-01-02 02:00:00+00:00,22540.0,273.45833125,1,1,2,2,4,84.8
2015-01-02 03:00:00+00:00,22096.0,273.4648,1,1,2,3,4,85.0
2015-01-02 04:00:00+00:00,22066.0,272.9289375,1,1,2,4,4,84.4
2015-01-02 05:00:00+00:00,22275.0,272.88846875,1,1,2,5,4,84.6
